CH,Ratio,NET_NAME,Unit
1,0.18823773,PM_SLP_S3_L,V
2,0.18823773,PMU_ACTIVE_READY,V
3,0.18823773,PMU_RSLOC_RST_L,V
4,0.18823773,SYS_DETECT_L,V
5,0.18823773,PP1V8_S5,V
6,0.18823773,PP1V8_G3S,V
7,0.18823773,PP1V8_SLPS2R,V
8,0.18823773,PP1V8_SSD,V
9,0.18823773,PP1V8_AWAKE,V
10,0.18823773,PP1V8_S3,V
11,0.18823773,SOC_USB_VBUS,V
12,0.18823773,PPVDDCPU_AWAKE,V
13,0.18823773,SOC_FORCE_DFU,V
14,0.18823773,PP1V8_S0_CPU_OPVR,V
15,0.18823773,CHGR_EN_MVR,V
16,0.18823773,PP1V2_AWAKE,V
17,0.18823773,PPDCIN_Current,A
18,0.18823773,PP0V9_SSD,V
19,0.18823773,PPVBAT_Current,A
20,0.18823773,PP0V82_SLPDDR,V
21,0.047059433,PPVBAT_G3H_CHGR_R_A,V
22,0.047059433,PPDCIN_G3H_A,V
23,0.047059433,PPVBAT_G3H_CONN_A,V
24,0.047059433,PPVIN_G3H_P3V3G3HRTC_A,V
25,0.047059433,PPBUS_G3H_A,V
26,8.96E-03,PPVOUT_S0_LCDBKLT_A,V
27,0.047059433,PP20V_USBC_XA_VBUS_A,V
28,0.047059433,PP20V_USBC_XB_VBUS_A,V
29,0.18823773,PP3V3_S5,V
30,0.18823773,PP5V_G3S,V
31,0.18823773,PP3V3_G3H,V